iter	Passed	Remaining
0	11	11568
1	20	10358
2	30	10030
3	39	9862
4	48	9701
5	58	9689
6	68	9748
7	78	9695
8	87	9661
9	97	9667
10	108	9713
11	117	9638
12	126	9609
13	135	9576
14	145	9546
15	154	9504
16	163	9459
17	172	9414
18	181	9374
19	191	9374
20	200	9354
21	209	9315
22	218	9273
23	228	9281
24	237	9276
25	246	9238
26	255	9221
27	265	9205
28	273	9169
29	282	9150
30	291	9126
31	300	9092
32	309	9067
33	319	9073
34	328	9051
35	337	9027
36	346	9006
37	355	8999
38	364	8982
39	373	8967
40	383	8975
41	392	8950
42	401	8945
43	410	8929
44	419	8895
45	428	8890
46	438	8888
47	447	8879
48	457	8876
49	466	8867
50	474	8835
51	484	8826
52	492	8794
53	501	8782
54	510	8771
55	519	8756
56	528	8744
57	537	8736
58	546	8714
59	555	8707
60	564	8686
61	573	8670
62	583	8674
63	592	8662
64	601	8650
65	611	8657
66	621	8649
67	630	8641
68	638	8621
69	648	8613
70	658	8610
71	666	8591
72	675	8583
73	684	8561
74	693	8553
75	702	8546
76	711	8534
77	723	8549
78	731	8528
79	741	8522
80	750	8513
81	761	8528
82	770	8510
83	779	8499
84	787	8473
85	794	8446
86	804	8442
87	814	8444
88	826	8458
89	836	8458
90	845	8445
91	856	8448
92	864	8434
93	872	8412
94	881	8394
95	891	8391
96	900	8385
97	911	8389
98	921	8386
99	933	8403
100	947	8429
101	957	8425
102	964	8402
103	973	8383
104	982	8373
105	991	8362
106	1001	8358
107	1011	8351
108	1020	8342
109	1030	8334
110	1038	8317
111	1045	8291
112	1055	8284
113	1063	8263
114	1071	8243
115	1080	8233
116	1090	8229
117	1097	8205
118	1108	8208
119	1118	8203
120	1128	8194
121	1137	8184
122	1144	8162
123	1154	8158
124	1164	8150
125	1173	8138
126	1181	8121
127	1190	8108
128	1199	8095
129	1208	8088
130	1220	8094
131	1228	8076
132	1238	8071
133	1250	8080
134	1259	8072
135	1269	8062
136	1278	8054
137	1289	8051
138	1297	8037
139	1307	8031
140	1316	8020
141	1325	8011
142	1335	8001
143	1344	7989
144	1354	7985
145	1362	7970
146	1371	7961
147	1381	7952
148	1389	7933
149	1398	7924
150	1407	7913
151	1415	7898
152	1424	7888
153	1433	7872
154	1442	7866
155	1450	7847
156	1460	7841
157	1469	7833
158	1479	7823
159	1491	7829
160	1500	7818
161	1508	7800
162	1517	7790
163	1526	7782
164	1534	7764
165	1543	7754
166	1553	7748
167	1562	7737
168	1570	7721
169	1579	7710
170	1589	7703
171	1598	7697
172	1608	7687
173	1617	7676
174	1627	7674
175	1636	7659
176	1644	7647
177	1652	7631
178	1661	7621
179	1671	7614
180	1680	7605
181	1691	7602
182	1702	7600
183	1713	7599
184	1723	7592
185	1731	7577
186	1741	7569
187	1750	7560
188	1760	7554
189	1770	7547
190	1778	7532
191	1787	7521
192	1796	7512
193	1807	7507
194	1818	7505
195	1826	7494
196	1836	7487
197	1847	7482
198	1856	7470
199	1865	7463
200	1875	7456
201	1886	7451
202	1894	7437
203	1902	7424
204	1913	7422
205	1924	7417
206	1933	7405
207	1941	7393
208	1950	7380
209	1961	7378
210	1972	7375
211	1982	7368
212	1993	7365
213	2003	7357
214	2014	7356
215	2025	7350
216	2035	7346
217	2045	7337
218	2055	7329
219	2064	7321
220	2074	7311
221	2084	7304
222	2092	7290
223	2103	7286
224	2111	7271
225	2120	7260
226	2129	7250
227	2139	7244
228	2150	7240
229	2162	7239
230	2172	7233
231	2184	7230
232	2193	7221
233	2203	7213
234	2213	7205
235	2223	7198
236	2232	7188
237	2242	7179
238	2251	7170
239	2263	7167
240	2274	7162
241	2284	7157
242	2294	7149
243	2305	7142
244	2313	7129
245	2324	7124
246	2335	7119
247	2343	7107
248	2353	7099
249	2363	7089
250	2371	7076
251	2381	7070
252	2390	7058
253	2401	7051
254	2411	7046
255	2421	7036
256	2429	7023
257	2439	7014
258	2448	7003
259	2458	6998
260	2469	6993
261	2481	6988
262	2491	6981
263	2501	6974
264	2509	6961
265	2518	6950
266	2528	6942
267	2538	6934
268	2549	6928
269	2560	6924
270	2571	6916
271	2580	6905
272	2591	6900
273	2602	6896
274	2611	6885
275	2621	6877
276	2633	6874
277	2645	6870
278	2655	6861
279	2665	6853
280	2673	6841
281	2683	6833
282	2694	6826
283	2707	6824
284	2717	6816
285	2726	6806
286	2737	6800
287	2748	6795
288	2758	6786
289	2769	6781
290	2780	6774
291	2790	6766
292	2802	6761
293	2813	6755
294	2824	6750
295	2834	6742
296	2843	6730
297	2854	6724
298	2863	6714
299	2872	6702
300	2883	6695
301	2892	6684
302	2901	6673
303	2910	6664
304	2920	6655
305	2931	6648
306	2940	6637
307	2952	6632
308	2962	6625
309	2974	6620
310	2985	6614
311	2995	6605
312	3006	6599
313	3017	6592
314	3028	6585
315	3037	6574
316	3045	6562
317	3054	6550
318	3066	6547
319	3077	6539
320	3087	6531
321	3097	6521
322	3108	6516
323	3120	6510
324	3129	6499
325	3138	6489
326	3148	6479
327	3158	6470
328	3168	6461
329	3178	6453
330	3188	6444
331	3197	6434
332	3206	6422
333	3216	6413
334	3224	6400
335	3235	6393
336	3245	6385
337	3255	6377
338	3264	6366
339	3276	6359
340	3286	6351
341	3295	6340
342	3303	6328
343	3313	6318
344	3323	6309
345	3334	6303
346	3344	6294
347	3354	6285
348	3363	6273
349	3374	6266
350	3383	6256
351	3393	6247
352	3403	6237
353	3412	6228
354	3422	6218
355	3433	6211
356	3444	6203
357	3452	6191
358	3463	6184
359	3472	6172
360	3481	6162
361	3490	6152
362	3500	6142
363	3511	6135
364	3521	6125
365	3530	6116
366	3541	6108
367	3552	6100
368	3562	6091
369	3572	6083
370	3583	6075
371	3597	6073
372	3608	6065
373	3622	6063
374	3637	6062
375	3650	6057
376	3661	6049
377	3675	6047
378	3691	6048
379	3702	6041
380	3715	6036
381	3731	6036
382	3744	6032
383	3757	6028
384	3772	6026
385	3786	6023
386	3798	6016
387	3813	6014
388	3828	6013
389	3843	6012
390	3856	6007
391	3872	6005
392	3890	6008
393	3907	6009
394	3920	6004
395	3934	6001
396	3947	5996
397	3960	5990
398	3976	5990
399	3988	5982
400	4000	5975
401	4013	5970
402	4031	5971
403	4045	5968
404	4058	5961
405	4069	5953
406	4082	5948
407	4097	5945
408	4109	5937
409	4124	5935
410	4139	5932
411	4156	5931
412	4168	5925
413	4183	5921
414	4197	5917
415	4210	5910
416	4226	5909
417	4240	5904
418	4254	5899
419	4265	5890
420	4275	5880
421	4287	5872
422	4303	5870
423	4316	5863
424	4330	5858
425	4342	5851
426	4356	5845
427	4369	5839
428	4382	5833
429	4393	5823
430	4406	5816
431	4420	5811
432	4432	5804
433	4444	5796
434	4458	5790
435	4471	5784
436	4487	5780
437	4499	5773
438	4512	5766
439	4525	5760
440	4541	5756
441	4554	5750
442	4568	5743
443	4582	5738
444	4596	5732
445	4607	5723
446	4622	5719
447	4636	5713
448	4652	5708
449	4663	5699
450	4677	5694
451	4691	5687
452	4704	5681
453	4718	5675
454	4730	5666
455	4743	5658
456	4756	5651
457	4770	5645
458	4784	5639
459	4798	5633
460	4812	5626
461	4829	5623
462	4846	5620
463	4860	5615
464	4872	5606
465	4887	5600
466	4902	5595
467	4916	5589
468	4927	5579
469	4940	5570
470	4953	5563
471	4969	5558
472	4982	5551
473	4994	5542
474	5008	5535
475	5022	5528
476	5036	5522
477	5050	5515
478	5064	5509
479	5078	5501
480	5092	5495
481	5108	5489
482	5120	5481
483	5132	5472
484	5145	5464
485	5157	5454
486	5173	5449
487	5187	5442
488	5202	5436
489	5215	5428
490	5228	5420
491	5244	5414
492	5255	5404
493	5267	5395
494	5280	5387
495	5293	5378
496	5307	5371
497	5319	5362
498	5334	5355
499	5347	5347
500	5360	5339
501	5373	5330
502	5386	5322
503	5396	5310
504	5407	5300
505	5418	5289
506	5428	5278
507	5439	5268
508	5449	5256
509	5460	5246
510	5472	5236
511	5481	5224
512	5491	5213
513	5502	5202
514	5512	5191
515	5522	5180
516	5533	5169
517	5543	5158
518	5553	5146
519	5563	5135
520	5573	5123
521	5583	5112
522	5592	5100
523	5603	5089
524	5613	5078
525	5623	5067
526	5634	5057
527	5645	5047
528	5657	5037
529	5666	5024
530	5677	5014
531	5687	5003
532	5697	4991
533	5706	4979
534	5716	4968
535	5727	4957
536	5736	4945
537	5745	4933
538	5755	4922
539	5767	4913
540	5779	4903
541	5789	4892
542	5801	4882
543	5811	4871
544	5822	4860
545	5834	4851
546	5845	4841
547	5854	4828
548	5863	4817
549	5873	4805
550	5882	4793
551	5893	4783
552	5903	4771
553	5915	4762
554	5925	4750
555	5935	4739
556	5945	4728
557	5955	4717
558	5966	4707
559	5978	4697
560	5987	4685
561	5997	4674
562	6007	4662
563	6016	4651
564	6026	4639
565	6035	4628
566	6044	4616
567	6053	4604
568	6062	4592
569	6071	4580
570	6082	4569
571	6090	4557
